country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Barbados,BRB,Latin America & Caribbean,31.324,68.676,NA,281635,16.2763861025796,653.953488372093,2.4878,77.571,17837.4532247473
Belarus,BLR,Europe & Central Asia,80.326,19.674,3.9,9208701,17.1844291443656,45.8368317319537,4.5382,72.3706829268293,22590.5909223364
Belgium,BEL,Europe & Central Asia,98.153,1.84699999999999,7.9,11669446,19.7290949756905,382.858388375165,3.1495,81.890243902439,65027.2948954044
Belize,BLZ,Latin America & Caribbean,46.396,53.604,20.5,405272,5.08682429723211,17.537527400263,1.078,70.47,11450.9168995378
Benin,BEN,Sub-Saharan Africa,49.534,50.466,11,13352864,3.06457850540528,115.261573252927,0.0647,59.821,4056.10834076599
Bermuda,BMU,North America,100,0,NA,63532,20.408513025053,1180.81481481481,1.766,79.28,95837.0324194888
Bhutan,BTN,South Asia,43.686,56.314,8.8,782455,6.25384207398509,20.3850550603041,0.499,71.815,12036.3640775011
Bolivia,BOL,Latin America & Caribbean,70.83,29.17,17.4,12224110,4.84987455119432,11.1506249423059,1.0299,63.63,9683.61749663174
Bosnia and Herzegovina,BIH,Europe & Central Asia,49.841,50.159,11.8,3233526,18.3998028159039,63.88560546875,2.1616,75.3,20376.8921942473
Botswana,BWA,Sub-Saharan Africa,72.224,27.776,19.7,2630296,3.6540374163212,4.5672948317541,0.3784,61.141,18323.0457028393
Brazil,BRA,Latin America & Caribbean,87.555,12.445,22.2,215313498,9.87670916943628,25.6428132335663,2.3106,72.75,17821.7372609877
British Virgin Islands,VGB,Latin America & Caribbean,49.331,50.669,NA,31305,9.93786835758437,207.48,NA,74.494,NA
Brunei Darussalam,BRN,East Asia & Pacific,78.854,21.146,NA,449002,6.17102615470104,84.5110056925996,1.609,74.642,69274.9841410867
Bulgaria,BGR,Europe & Central Asia,76.363,23.637,13,6465097,22.3778828900761,63.3543017686072,4.2071,71.5146341463415,33582.2826109196
Burkina Faso,BFA,Sub-Saharan Africa,31.877,68.123,11.3,22673762,2.53341946519506,80.7773501461988,0.094,59.27,2545.86354868676
Burundi,BDI,Sub-Saharan Africa,14.417,85.583,11.2,12889576,2.48198224355936,488.754400311526,0.0717,61.663,836.18756902761
Cabo Verde,CPV,Sub-Saharan Africa,67.545,32.455,15.8,593149,5.55079284396261,145.887096774194,0.8312,74.052,9082.83764344039
Cambodia,KHM,East Asia & Pacific,25.114,74.886,NA,16767842,5.80586023514951,93.9781497847269,0.1927,69.584,5349.46379391855
Cameroon,CMR,Sub-Saharan Africa,58.733,41.267,21.7,27914536,2.66846451131295,57.5376615684035,0.1292,60.333,4408.04627354922
Canada,CAN,North America,81.752,18.248,11.2,38929902,19.034311795393,4.34950538759999,2.4425,82.5966097560976,58399.5454813184
Cayman Islands,CYM,Latin America & Caribbean,100,0,NA,68706,8.16164644751876,283.9,1.939,82.190243902439,76580.73564719
Central African Republic,CAF,Sub-Saharan Africa,43.12,56.88,15.3,5579144,2.5111560582731,8.7597579376545,0.0718,53.895,967.268323827568
Chad,TCD,Sub-Saharan Africa,24.063,75.937,10.8,17723315,2.00828970224503,13.643376747141,0.0611,52.525,1668.02296131439
Channel Islands,CHI,Europe & Central Asia,31.077,68.923,NA,174079,16.3680491727941,872.136363636364,1.522,81.232,NA
Chile,CHL,Latin America & Caribbean,87.912,12.088,14.1,19603733,13.0310844368264,26.2170074724423,2.8351,78.944,30208.805531053
China,CHN,East Asia & Pacific,63.56,36.44,NA,1412175000,13.7223354484422,150.439753691066,2.2266,78.211,21475.610527214
Colombia,COL,Latin America & Caribbean,82.05,17.95,20.7,51874024,8.99901750440644,46.4322325371789,2.327,72.83,20287.4002631682
Comoros,COM,Sub-Saharan Africa,29.864,70.136,19.2,836774,4.27833816438977,441.496507254164,0.2643,63.417,3832.4689846225
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,46.837,53.163,16.3,99010212,2.92045784125783,42.2990750093734,0.3752,59.193,1337.39111505169
"Congo, Rep.",COG,Sub-Saharan Africa,68.736,31.264,21.5,5970424,2.72087878515831,17.0887437774524,0.1037,63.519,3790.71130701161
