country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Indonesia,IDN,East Asia & Pacific,57.934,42.066,NA,275501339,6.85716522052911,144.647380401484,0.6228,67.57,14652.9282752376
"Iran, Islamic Rep.",IRN,Middle East & North Africa,76.807,23.193,15.4,88550570,7.62273636409116,54.1900967642527,1.5844,73.875,18075.0549731636
Iraq,IRQ,Middle East & North Africa,71.354,28.646,7.6,44496122,3.40504284176768,100.278240518925,0.9663,70.378,10861.8218937668
Ireland,IRL,Europe & Central Asia,64.183,35.817,6.2,5086988,15.136185093354,73.0608941791261,3.4896,82.1024390243903,126905.198534476
Isle of Man,IMN,Europe & Central Asia,53.271,46.729,NA,84519,22.2901223977899,147.829824561404,1.449,80.525,NA
Israel,ISR,Middle East & North Africa,92.763,7.23699999999999,20.5,9550600,12.0448968938769,432.749537892791,3.6259,82.5,49509.1289935125
Italy,ITA,Europe & Central Asia,71.657,28.343,15.6,58856847,24.0535790877503,199.885931481788,3.9477,82.7951219512195,51864.9777354821
Jamaica,JAM,Latin America & Caribbean,57.008,42.992,15.7,2827377,7.44888283380674,261.098337950139,0.5268,70.5,11821.5849455897
Japan,JPN,East Asia & Pacific,91.955,8.045,9.1,125124989,29.9245612556866,344.80546776406,2.4796,84.4456097560976,45572.7238228213
Jordan,JOR,Middle East & North Africa,91.827,8.173,7.5,11285869,3.83844628350933,125.552154424849,2.6614,74.256,11003.1245205792
Kazakhstan,KAZ,Europe & Central Asia,57.99,42.01,3.8,19621972,8.04318053852774,7.03818498351669,4.0712,70.23,30809.8794265678
Kenya,KEN,Sub-Saharan Africa,29.002,70.998,8.7,54027487,2.8730477506755,93.1328214499069,0.1565,61.427,5763.91009193441
Kiribati,KIR,East Asia & Pacific,57.058,42.942,5.7,131232,3.81044185275639,159.103703703704,0.2039,67.417,2364.72656268465
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,62.916,37.084,NA,26069416,11.714383787608,215.695614982144,3.6834,73.284,NA
"Korea, Rep.",KOR,East Asia & Pacific,81.427,18.573,12.2,51628117,17.4911355963666,530.172909836066,2.4843,83.5268292682927,50069.8233877975
Kosovo,XKX,Europe & Central Asia,NA,NA,6.6,1761985,10.1924217643587,NA,NA,76.806,14723.4049321079
Kuwait,KWT,Middle East & North Africa,100,0,NA,4268873,4.93087988328535,238.502469135802,2.3416,78.673,58056.2326894471
